61,14
67,79
60,81
88,69
46,62
89,86
77,46
77,24
68,79
47,76
10,96
8,16
12,61
83,44
6,75
30,53
46,67
100,94
9,47
44,50
31,10
5,52
72,52
10,48
19,29
43,85
45,2
2,33
21,27
68,71
21,95
27,55
95,35
84,73
81,68
20,46
97,14
30,97
26,60
25,70
44,83
36,90
62,5
74,99
67,35
82,14
18,58
69,100
65,18
97,43
64,99
78,1
37,88
100,56
91,67
98,5
90,81
55,21
89,53
65,43
79,60
94,22
1,94
28,61
38,51
30,99
16,52
88,69
66,32
82,31
33,74
4,47
4,62
44,84
29,23
18,59
47,4
1,20
49,64
43,95
9,80
26,69
76,48
10,50
64,80
43,87
20,70
24,44
75,38
85,41
37,84
80,80
11,89
51,36
60,16
7,96
61,8
58,58
50,2
19,55
