52,71
44,42
97,78
82,70
31,37
30,44
27,58
15,83
36,20
10,10
77,35
25,86
82,3
55,39
24,61
24,13
74,70
92,40
58,82
84,38
13,59
12,59
55,32
99,57
67,84
72,81
58,15
76,57
32,89
79,2
17,67
29,61
28,83
3,48
37,65
80,32
41,70
16,76
95,10
52,80
66,73
29,93
28,4
65,78
10,25
55,90
79,22
61,14
48,11
8,61
61,74
13,81
70,33
70,57
17,9
5,12
93,91
58,73
51,12
21,9
40,24
29,26
23,85
65,59
62,63
42,65
62,30
35,55
90,77
1,77
3,34
75,81
5,53
58,85
60,99
43,50
11,65
80,89
51,61
90,91
66,48
87,21
43,39
90,88
17,42
24,28
54,71
32,83
4,97
61,90
78,11
2,32
80,99
72,68
100,81
13,11
44,34
11,9
70,67
2,56
